Date,close,returns
2023-01-02,1170.4779052734375,0.0
2023-01-03,1161.9124755859375,-0.0
2023-01-04,1144.418212890625,-0.0
2023-01-05,1142.3734130859375,-0.0
2023-01-06,1152.75634765625,0.0
2023-01-09,1179.974609375,0.0
2023-01-10,1162.52587890625,-0.0
2023-01-11,1147.8717041015625,-0.0
2023-01-12,1123.084228515625,-0.0
2023-01-13,1121.266845703125,-0.0
2023-01-16,1110.5885009765625,-0.0
2023-01-17,1126.3560791015625,0.0
2023-01-18,1124.4930419921875,-0.0
2023-01-19,1123.288818359375,-0.0
2023-01-20,1109.9295654296875,-0.0
2023-01-23,1104.31787109375,-0.0
2023-01-24,1097.7972412109375,-0.0
2023-01-25,1082.6202392578125,-0.0
2023-01-27,1062.081787109375,-0.0
2023-01-30,1072.26025390625,0.0
2023-01-31,1069.5792236328125,-0.0
2023-02-01,1063.2406005859375,-0.0
2023-02-02,1057.3560791015625,-0.0
2023-02-03,1058.2874755859375,0.0
2023-02-06,1050.312744140625,-0.0
2023-02-07,1047.7908935546875,-0.0
2023-02-08,1068.7159423828125,0.0
2023-02-09,1070.578857421875,0.0
2023-02-10,1061.763671875,-0.0
2023-02-13,1055.7203369140625,-0.0
2023-02-14,1080.598388671875,0.0
2023-02-15,1105.0675048828125,0.0
2023-02-16,1104.2042236328125,-0.0
2023-02-17,1108.8162841796875,0.0
2023-02-20,1097.093017578125,-0.0
2023-02-21,1106.044677734375,0.0
2023-02-22,1080.9617919921875,-0.0
2023-02-23,1075.78173828125,-0.0
2023-02-24,1083.142822265625,0.0
2023-02-27,1075.9407958984375,-0.0
2023-02-28,1055.356689453125,-0.0
2023-03-01,1065.05810546875,0.0
2023-03-02,1056.947021484375,-0.0
2023-03-03,1083.91552734375,0.0
2023-03-06,1094.5028076171875,0.0
2023-03-08,1098.4334716796875,0.0
2023-03-09,1072.0330810546875,-0.0
2023-03-10,1055.4248046875,-0.0
2023-03-13,1038.0670166015625,-0.0
2023-03-14,1034.1817626953125,-0.0
2023-03-15,1016.505859375,-0.0
2023-03-16,1011.4392700195312,-0.0
2023-03-17,1010.1670532226562,-0.0
2023-03-20,1000.2384643554688,-0.0
2023-03-21,1031.341796875,0.0
2023-03-22,1034.4771728515625,0.0
2023-03-23,1021.390625,-0.0
2023-03-24,1001.1700439453125,-0.0
2023-03-27,1016.7329711914062,0.0
2023-03-28,1021.4815063476562,0.0
2023-03-29,1015.4381103515625,-0.0
2023-03-31,1059.2191162109375,0.0
2023-04-03,1059.4007568359375,0.0
2023-04-05,1056.856201171875,-0.0
2023-04-06,1063.9447021484375,0.0
2023-04-10,1056.4017333984375,-0.0
2023-04-11,1061.6273193359375,0.0
2023-04-12,1066.3074951171875,0.0
2023-04-13,1070.3291015625,0.0
2023-04-17,1075.759033203125,0.0
2023-04-18,1063.4449462890625,-0.0
2023-04-19,1068.7386474609375,0.0
2023-04-20,1066.034912109375,-0.0
2023-04-21,1067.37548828125,0.0
2023-04-24,1071.4649658203125,0.0
2023-04-25,1079.6668701171875,0.0
2023-04-26,1073.328125,-0.0
2023-04-27,1080.1212158203125,0.0
2023-04-28,1099.8646240234375,0.0
2023-05-02,1109.2025146484375,0.008490036338145712
2023-05-03,1099.6829833984375,-0.008582320292536694
2023-05-04,1112.360595703125,0.011528424551509264
2023-05-05,1109.5206298828125,-0.0025530981871192404
2023-05-08,1123.220703125,0.012347740883046576
2023-05-09,1126.69677734375,0.0030947383796247063
2023-05-10,1134.4443359375,0.006876347522725146
2023-05-11,1127.03759765625,-0.006528956993847701
